Country,Continent,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Colour
Cambodia,Asia,2019-01-01,4.998,8.387,0.759,62.0,0.9570000000000001,0.013000000000000001,0.828,0.8440000000000001,0.39,1
Cameroon,Africa,2019-01-01,4.937,8.203,0.711,53.5,0.7120000000000001,-0.008,0.8170000000000001,0.629,0.326,1
Canada,North America,2019-01-01,7.109,10.8,0.925,73.8,0.912,0.11199999999999999,0.436,0.8220000000000001,0.285,9
Chad,Africa,2019-01-01,4.251,7.365,0.64,48.7,0.537,0.055,0.8320000000000001,0.5870000000000001,0.46,1
Chile,South America,2019-01-01,5.942,10.095,0.8690000000000001,70.0,0.659,-0.10300000000000001,0.86,0.809,0.337,5
China,Asia,2019-01-01,5.144,9.687999999999999,0.8220000000000001,69.6,0.927,-0.17300000000000001,,0.8909999999999999,0.147,5
Colombia,South America,2019-01-01,6.35,9.597999999999999,0.873,68.0,0.8220000000000001,-0.172,0.8540000000000001,0.8220000000000001,0.322,8
Comoros,Africa,2019-01-01,4.609,8.033,0.632,57.5,0.5379999999999999,0.077,0.762,0.736,0.336,1
Brazzaville,Africa,2019-01-01,5.212999999999999,8.101,0.625,58.5,0.6859999999999999,-0.046,0.741,0.645,0.405,4
Costa Rica,North America,2019-01-01,6.997999999999999,9.885,0.9059999999999999,71.5,0.927,-0.146,0.836,0.848,0.303,8
Croatia,Europe,2019-01-01,5.626,10.258,0.9359999999999999,70.8,0.7390000000000001,-0.13699999999999998,0.932,0.551,0.26899999999999996,6
Cyprus,Europe,2019-01-01,6.1370000000000005,10.585,0.7759999999999999,73.9,0.74,-0.008,0.865,0.763,0.29,9
Denmark,Europe,2019-01-01,7.693,10.954,0.958,72.7,0.963,0.02,0.174,0.862,0.18100000000000002,9
Dominican Republic,North America,2019-01-01,6.004,9.821,0.884,66.1,0.877,-0.12300000000000001,0.746,0.784,0.264,5
Ecuador,South America,2019-01-01,5.809,9.339,0.8079999999999999,68.8,0.83,-0.115,0.8390000000000001,0.8109999999999999,0.374,5
Egypt,Africa,2019-01-01,4.328,9.373,0.772,62.0,0.774,-0.19899999999999998,,0.517,0.313,2
El Salvador,North America,2019-01-01,6.455,9.08,0.764,66.4,0.877,-0.109,0.682,0.871,0.271,8
Estonia,Europe,2019-01-01,6.035,10.511,0.934,68.8,0.887,-0.096,0.5760000000000001,0.804,0.156,6
Ethiopia,Africa,2019-01-01,4.1,7.705,0.748,59.0,0.754,0.053,0.732,0.631,0.28300000000000003,1
Finland,Europe,2019-01-01,7.78,10.792,0.937,72.0,0.948,-0.052000000000000005,0.195,0.755,0.18100000000000002,9
France,Europe,2019-01-01,6.69,10.74,0.958,74.0,0.8270000000000001,-0.133,0.568,0.735,0.25,9
Gabon,Africa,2019-01-01,4.914,9.607000000000001,0.763,60.2,0.736,-0.203,0.846,0.693,0.413,2
Gambia,Africa,2019-01-01,5.164,7.699,0.6940000000000001,55.3,0.677,0.41,0.7979999999999999,0.773,0.401,4
Georgia,Europe,2019-01-01,4.8919999999999995,9.617,0.675,64.3,0.8109999999999999,-0.26,0.647,0.604,0.244,2
Germany,Europe,2019-01-01,7.035,10.892999999999999,0.8859999999999999,72.5,0.885,0.057,0.462,0.7509999999999999,0.226,9
Ghana,Africa,2019-01-01,4.967,8.596,0.746,57.6,0.787,0.11599999999999999,0.857,0.682,0.27,1
Greece,Europe,2019-01-01,5.952000000000001,10.319,0.8909999999999999,72.6,0.614,-0.289,0.848,0.6679999999999999,0.23600000000000002,6
Guatemala,North America,2019-01-01,6.2620000000000005,9.064,0.774,65.1,0.9009999999999999,-0.062,0.773,0.8590000000000001,0.311,7
Guinea,Africa,2019-01-01,4.768,7.849,0.655,55.5,0.691,0.09699999999999999,0.7559999999999999,0.685,0.473,1
Honduras,North America,2019-01-01,5.93,8.652999999999999,0.797,67.4,0.846,0.063,0.815,0.85,0.27899999999999997,4
Hong Kong S.A.R. of China,Asia,2019-01-01,5.659,11.0,0.856,,0.727,0.067,0.43200000000000005,0.599,0.358,6
Hungary,Europe,2019-01-01,6.0,10.392999999999999,0.9470000000000001,68.0,0.7979999999999999,-0.195,0.884,0.743,0.18,6
Iceland,Europe,2019-01-01,7.5329999999999995,10.931,0.982,73.0,0.9590000000000001,,0.6990000000000001,0.836,0.17800000000000002,9
India,Asia,2019-01-01,3.2489999999999997,8.818,0.561,60.5,0.8759999999999999,0.11199999999999999,0.752,0.648,0.466,1
Indonesia,Asia,2019-01-01,5.347,9.377,0.802,62.3,0.866,0.555,0.861,0.877,0.302,5
Ireland,Europe,2019-01-01,7.255,11.370999999999999,0.9440000000000001,72.4,0.892,0.07400000000000001,0.373,0.807,0.223,9
Israel,Asia,2019-01-01,7.332000000000001,10.600999999999999,0.946,73.5,0.8340000000000001,0.085,0.743,0.635,0.266,9
Italy,Europe,2019-01-01,6.445,10.655,0.838,73.8,0.7090000000000001,-0.08199999999999999,0.866,0.631,0.32799999999999996,9
Ivory Coast,Africa,2019-01-01,5.392,8.564,0.679,50.1,0.736,-0.017,0.799,0.674,0.425,4
Jamaica,North America,2019-01-01,6.309,9.186,0.878,67.5,0.8909999999999999,-0.13699999999999998,0.885,0.752,0.195,8
Japan,Asia,2019-01-01,5.9079999999999995,10.632,0.878,75.1,0.8059999999999999,-0.255,0.617,0.743,0.19399999999999998,6
Jordan,Asia,2019-01-01,4.453,9.201,0.7929999999999999,67.0,0.726,-0.165,,,,2
Kazakhstan,Europe,2019-01-01,6.272,10.179,0.951,65.2,0.852,-0.055,0.708,0.787,0.139,8
Kenya,Africa,2019-01-01,4.619,8.373,0.6759999999999999,60.7,0.818,0.31,0.794,0.7509999999999999,0.251,1
Kosovo,Europe,2019-01-01,6.425,9.339,0.843,,0.841,0.247,0.92,0.7490000000000001,0.141,8
Kuwait,Asia,2019-01-01,6.106,10.817,0.8420000000000001,66.9,0.867,-0.10400000000000001,,0.695,0.303,6
Kyrgyzstan,Asia,2019-01-01,5.685,8.567,0.877,64.4,0.92,-0.002,0.885,0.7659999999999999,0.207,4
Laos,Asia,2019-01-01,5.197,8.965,0.7290000000000001,59.1,0.9059999999999999,0.061,0.62,0.878,0.306,4
Latvia,Europe,2019-01-01,5.97,10.335999999999999,0.9359999999999999,67.1,0.698,-0.19399999999999998,0.789,0.575,0.212,6
Lebanon,Asia,2019-01-01,4.024,9.597000000000001,0.866,67.6,0.447,-0.081,0.89,0.322,0.494,2
Lesotho,Africa,2019-01-01,3.512,7.926,0.79,48.7,0.716,-0.131,0.915,0.735,0.273,1
