,Firm,Salary,Reports
621,Barclays,68351.0,37.0
622,Barclays,34918.0,36.0
623,Barclays,24402.0,36.0
624,Barclays,60672.0,36.0
625,Barclays,34199.0,35.0
626,Barclays,31683.0,35.0
627,Barclays,38689.0,33.0
628,Barclays,104135.0,32.0
629,Barclays,24183.0,32.0
630,Barclays,86968.0,31.0
631,Barclays,24387.0,30.0
632,Barclays,341645.0,30.0
633,Barclays,68577.0,29.0
634,Barclays,19697.0,29.0
635,Barclays,32856.0,29.0
636,Barclays,93959.0,28.0
637,Barclays,70878.0,28.0
638,Barclays,38484.0,28.0
639,Barclays,40441.0,27.0
640,Barclays,51536.0,27.0
641,Barclays,42062.0,26.0
642,Barclays,109388.0,26.0
643,Barclays,59037.0,25.0
644,Barclays,48592.0,24.0
645,Barclays,51154.0,24.0
646,Barclays,52674.0,24.0
647,Barclays,22693.0,24.0
648,Barclays,24053.0,23.0
649,Barclays,77378.0,22.0
650,Barclays,22944.0,22.0
651,Barclays,40100.0,22.0
652,Barclays,46019.0,22.0
653,Barclays,89547.0,21.0
654,Barclays,43500.0,21.0
655,Barclays,21750.0,21.0
656,Barclays,68921.0,21.0
657,Barclays,43011.0,21.0
658,Barclays,23391.0,20.0
659,Barclays,144734.0,20.0
660,Barclays,22551.0,20.0
661,Barclays,44328.0,19.0
662,Barclays,55275.0,19.0
663,Barclays,47994.0,19.0
664,Barclays,73339.0,19.0
665,Barclays,39705.0,19.0
666,Barclays,45100.0,18.0
667,Barclays,36574.0,17.0
668,Barclays,54500.0,17.0
669,Barclays,52578.0,17.0
670,Barclays,61581.0,17.0
671,Barclays,40398.0,17.0
672,Barclays,145835.0,16.0
673,Barclays,42610.0,16.0
674,Barclays,46537.0,16.0
675,Barclays,66026.0,16.0
676,Barclays,59664.0,16.0
677,Barclays,48616.0,16.0
678,Barclays,62608.0,16.0
679,Barclays,84703.0,16.0
680,Barclays,81207.0,16.0
681,Barclays,65140.0,16.0
682,Barclays,24387.0,15.0
683,Barclays,61621.0,15.0
684,Barclays,78578.0,15.0
685,Barclays,74762.0,15.0
686,Barclays,54137.0,14.0
687,Barclays,83700.0,14.0
688,Barclays,42335.0,14.0
689,Barclays,174978.0,14.0
690,Barclays,32132.0,14.0
691,Barclays,52674.0,13.0
692,Barclays,39347.0,13.0
693,Barclays,21770.0,13.0
694,Barclays,39959.0,13.0
695,Barclays,79689.0,13.0
696,Barclays,39000.0,13.0
697,Barclays,46004.0,12.0
698,Barclays,31288.0,12.0
699,Barclays,20485.0,12.0
700,Barclays,44375.0,12.0
701,Barclays,19257.0,12.0
702,Barclays,68511.0,12.0
703,Barclays,30023.0,12.0
704,Barclays,133591.0,12.0
705,Barclays,66339.0,11.0
706,Barclays,98080.0,11.0
707,Barclays,98846.0,11.0
708,Barclays,22687.0,11.0
709,Barclays,56486.0,11.0
710,Barclays,88973.0,11.0
711,Barclays,82161.0,11.0
712,Barclays,22594.0,11.0
713,Barclays,47003.0,11.0
714,Barclays,41984.0,11.0
715,Barclays,42674.0,10.0
716,Barclays,37573.0,10.0
717,Barclays,18699.0,10.0
718,Barclays,42738.0,10.0
719,Barclays,24832.0,10.0
720,Barclays,100093.0,10.0
721,Barclays,58783.0,10.0
722,Barclays,39216.0,10.0
723,Barclays,43894.0,10.0
724,Barclays,52055.0,10.0
725,Barclays,53207.0,9.0
726,Barclays,54531.0,9.0
727,Barclays,24457.0,9.0
728,Barclays,132010.0,9.0
729,Barclays,23088.0,9.0
730,Barclays,29058.0,9.0
731,Barclays,73005.0,9.0
732,Barclays,54933.0,9.0
733,Barclays,102250.0,9.0
734,Barclays,51484.0,9.0
735,Barclays,51587.0,9.0
736,Barclays,32410.0,9.0
737,Barclays,32220.0,9.0
738,Barclays,92705.0,9.0
739,Barclays,22000.0,9.0
740,Barclays,41908.0,9.0
741,Barclays,46914.0,9.0
742,Barclays,30536.0,9.0
743,Barclays,54781.0,9.0
744,Barclays,47060.0,9.0
745,Barclays,55667.0,9.0
746,Barclays,42160.0,8.0
747,Barclays,42062.0,8.0
748,Barclays,49225.0,8.0
749,Barclays,27911.0,8.0
750,Barclays,36437.0,8.0
751,Barclays,25251.0,8.0
752,Barclays,48618.0,8.0
753,Barclays,22974.0,8.0
754,Barclays,25426.0,8.0
